booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-025301,Resort Hotel,0,162,2024,June,24,14,2024-06-14,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,55.44,0,1
HB-085258,City Hotel,0,3,2024,March,10,8,2024-03-08,0,4,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.0,0,1
HB-101524,City Hotel,0,14,2024,November,45,7,2024-11-07,1,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,7.0,,0,Transient,122.96,0,1
HB-036778,Resort Hotel,0,99,2025,May,21,21,2025-05-21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,82.86,0,0
HB-053867,City Hotel,1,142,2024,July,27,1,2024-07-01,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,85.5,0,0
HB-068040,City Hotel,1,91,2025,May,19,11,2025-05-11,1,3,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,127.25,0,1
HB-083145,City Hotel,0,63,2024,January,3,19,2024-01-19,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,19.0,,0,Transient-Party,71.0,0,0
HB-009621,Resort Hotel,1,250,2024,December,51,20,2024-12-20,2,7,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,88.4,0,0
HB-061991,City Hotel,1,17,2024,December,52,29,2024-12-29,2,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,125.8,0,1
HB-115958,City Hotel,0,170,2025,July,28,9,2025-07-09,2,2,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.1,0,0
HB-056227,City Hotel,1,419,2024,September,35,1,2024-09-01,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-068750,City Hotel,1,25,2025,May,21,20,2025-05-20,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,90.0,0,0
HB-101786,City Hotel,0,9,2024,November,46,16,2024-11-16,0,2,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,95.0,0,0
HB-116558,City Hotel,0,116,2025,July,29,19,2025-07-19,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,142.33,1,1
HB-033051,Resort Hotel,0,47,2025,February,6,6,2025-02-06,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,1
HB-070950,City Hotel,1,350,2025,June,26,26,2025-06-26,1,0,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,0
HB-085696,City Hotel,0,115,2024,March,12,18,2024-03-18,0,2,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,70.0,0,0
HB-039822,Resort Hotel,0,184,2025,August,34,20,2025-08-20,4,5,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,2,No Deposit,250.0,,0,Transient,207.5,0,2
HB-065284,City Hotel,1,80,2025,March,14,31,2025-03-31,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,0,Transient,90.0,0,0
HB-008170,Resort Hotel,0,336,2024,September,37,15,2024-09-15,0,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,,223.0,0,Transient-Party,66.0,0,0
HB-073234,City Hotel,1,55,2025,August,33,17,2025-08-17,0,2,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,210.0,0,0
HB-039474,Resort Hotel,0,50,2025,August,33,14,2025-08-14,1,4,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,299.0,1,1
HB-004229,Resort Hotel,0,123,2024,February,9,27,2024-02-27,1,1,2,0.0,0,FB,ESP,Groups,Direct,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,64.0,0,0
HB-112728,City Hotel,0,178,2025,May,21,25,2025-05-25,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,2
HB-089283,City Hotel,0,69,2024,May,20,18,2024-05-18,0,2,3,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,8.0,,0,Transient,161.9,0,1
HB-097659,City Hotel,0,31,2024,September,38,16,2024-09-16,1,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,75.0,0,0
HB-038443,Resort Hotel,0,152,2025,July,28,11,2025-07-11,2,5,2,0.0,0,HB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,208.86,1,2
HB-063614,City Hotel,1,19,2025,February,7,15,2025-02-15,3,9,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,96.5,0,0
HB-107848,City Hotel,0,52,2025,March,12,17,2025-03-17,0,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,207.0,1,2
HB-095398,City Hotel,0,4,2025,May,19,9,2025-05-09,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,7,A,A,0,No Deposit,,40.0,0,Transient,67.0,0,1
HB-050947,City Hotel,1,309,2024,May,19,12,2024-05-12,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-055876,City Hotel,1,134,2024,August,34,23,2024-08-23,0,4,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,133.2,0,0
HB-015701,Resort Hotel,1,245,2023,September,39,25,2023-09-25,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,248.0,,0,Transient,80.0,0,0
HB-054067,City Hotel,1,245,2024,July,27,6,2024-07-06,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,110.0,0,0
HB-044953,City Hotel,1,180,2023,October,42,16,2023-10-16,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0
HB-006605,Resort Hotel,1,177,2024,June,25,20,2024-06-20,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,240.0,,0,Transient,85.5,0,0
HB-028232,Resort Hotel,0,234,2024,September,38,19,2024-09-19,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,62.9,0,0
HB-113653,City Hotel,0,34,2025,June,26,23,2025-06-23,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,1,A,D,1,No Deposit,,,0,Transient,65.0,1,2
HB-119326,City Hotel,0,147,2025,August,35,28,2025-08-28,1,5,2,0.0,0,BB,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,117.0,0,1
HB-087406,City Hotel,0,75,2024,April,16,17,2024-04-17,2,0,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,99.0,0,0
HB-088401,City Hotel,0,36,2024,May,18,1,2024-05-01,2,2,3,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,159.3,0,3
HB-047467,City Hotel,1,4,2024,February,8,23,2024-02-23,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,1.0,0,0
HB-017353,Resort Hotel,0,192,2023,October,40,3,2023-10-03,2,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,38.07,0,0
HB-033674,Resort Hotel,0,12,2025,February,9,25,2025-02-25,2,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient-Party,97.0,0,1
HB-111330,City Hotel,0,5,2025,May,19,8,2025-05-08,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,170.0,1,1
HB-118312,City Hotel,0,0,2025,August,33,17,2025-08-17,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,190.0,0,0
HB-040139,City Hotel,0,3,2023,July,28,11,2023-07-11,0,1,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,104.0,0,0
HB-038674,Resort Hotel,0,49,2025,July,30,23,2025-07-23,2,1,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient-Party,200.0,0,0
HB-107118,City Hotel,0,111,2025,April,14,3,2025-04-03,1,1,1,0.0,0,BB,ISR,Groups,TA/TO,0,0,2,A,A,3,No Deposit,37.0,,0,Transient-Party,85.0,0,0
HB-065315,City Hotel,1,80,2025,March,14,31,2025-03-31,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,0,Transient,90.0,0,0
HB-067404,City Hotel,1,152,2025,May,18,3,2025-05-03,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,286.0,,0,Transient,100.0,0,0
HB-042771,City Hotel,0,2,2023,September,36,10,2023-09-10,0,1,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,68.0,0,Transient-Party,90.0,0,0
HB-064736,City Hotel,1,92,2025,March,11,15,2025-03-15,0,3,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,85.0,0,0
HB-067461,City Hotel,1,118,2025,May,18,3,2025-05-03,1,4,1,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.8,0,1
HB-107057,City Hotel,0,97,2025,March,10,3,2025-03-03,2,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,0
HB-092124,City Hotel,0,96,2024,June,26,29,2024-06-29,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.8,0,1
HB-031373,Resort Hotel,0,1,2024,December,52,24,2024-12-24,1,1,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,123.0,0,1
HB-023337,Resort Hotel,0,33,2024,April,16,18,2024-04-18,1,4,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,241.0,,0,Transient,63.75,0,0
HB-074524,City Hotel,1,332,2023,September,37,14,2023-09-14,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0
HB-023269,Resort Hotel,0,32,2024,April,16,19,2024-04-19,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,No Deposit,,397.0,0,Transient,59.0,0,1
HB-085817,City Hotel,0,6,2024,March,12,19,2024-03-19,2,1,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,177.0,0,1
HB-066995,City Hotel,1,109,2025,April,17,27,2025-04-27,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,2
HB-005929,Resort Hotel,1,250,2024,May,20,16,2024-05-16,3,7,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,79.2,0,2
HB-106141,City Hotel,0,50,2025,February,8,18,2025-02-18,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,135.52,0,1
HB-001084,Resort Hotel,0,135,2023,August,32,13,2023-08-13,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,196.0,0,1
HB-033862,Resort Hotel,0,6,2025,March,9,1,2025-03-01,1,4,1,0.0,0,BB,NLD,Groups,Corporate,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,29.0,0,0
HB-065904,City Hotel,1,90,2025,April,15,9,2025-04-09,2,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,160.08,0,0
HB-015310,Resort Hotel,1,279,2023,October,40,8,2023-10-08,2,5,2,0.0,0,HB,IRL,Groups,TA/TO,0,1,0,A,A,0,No Deposit,142.0,,0,Transient-Party,63.4,0,0
HB-044881,City Hotel,0,40,2023,October,41,14,2023-10-14,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,72.76,0,1
HB-018246,Resort Hotel,0,35,2023,November,45,6,2023-11-06,2,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0
HB-025033,Resort Hotel,0,166,2024,June,24,10,2024-06-10,0,2,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,240.0,,0,Transient,120.0,1,2
HB-098301,City Hotel,0,57,2024,September,39,26,2024-09-26,1,1,3,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,228.6,1,2
HB-041380,City Hotel,0,40,2023,August,33,15,2023-08-15,2,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-094540,City Hotel,0,81,2024,August,31,3,2024-08-03,0,3,2,1.0,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,159.3,1,0
HB-078764,City Hotel,0,1,2023,October,41,15,2023-10-15,0,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Contract,145.0,1,0
HB-004416,Resort Hotel,1,14,2024,March,11,14,2024-03-14,3,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,68.0,0,1
HB-084532,City Hotel,0,12,2024,February,9,27,2024-02-27,0,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient-Party,111.0,0,2
HB-114457,City Hotel,0,134,2025,June,24,15,2025-06-15,2,5,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,102.86,0,1
HB-011077,Resort Hotel,1,92,2025,April,16,17,2025-04-17,1,0,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0
HB-075031,City Hotel,1,219,2023,September,36,4,2023-09-04,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,3.0,,0,Transient-Party,80.0,0,0
HB-022750,Resort Hotel,0,168,2024,March,13,30,2024-03-30,1,4,1,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,,223.0,0,Transient,60.0,0,0
HB-021464,Resort Hotel,0,10,2024,February,9,27,2024-02-27,1,1,2,2.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,196.0,,0,Transient,85.0,0,0
HB-060846,City Hotel,1,269,2024,November,47,24,2024-11-24,0,2,1,0.0,0,HB,BRA,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,93.0,0,0
HB-088558,City Hotel,0,78,2024,May,19,7,2024-05-07,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,0,1
HB-091569,City Hotel,0,146,2024,June,25,20,2024-06-20,1,3,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,91.98,0,0
HB-090069,City Hotel,0,1,2024,May,22,31,2024-05-31,0,1,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,0
HB-005774,Resort Hotel,1,17,2024,May,20,13,2024-05-13,2,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,135.0,0,0
HB-005721,Resort Hotel,0,236,2024,May,19,12,2024-05-12,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,48.0,0,0
HB-031410,Resort Hotel,0,123,2024,December,52,25,2024-12-25,2,1,2,2.0,0,BB,CHN,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,82.0,0,1
HB-103877,City Hotel,0,32,2024,December,52,27,2024-12-27,1,5,1,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,220.0,,0,Transient-Party,63.33,0,0
HB-115472,City Hotel,0,405,2025,July,27,4,2025-07-04,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,91.5,0,0
HB-011703,Resort Hotel,1,139,2025,May,22,26,2025-05-26,1,2,3,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,160.0,0,1
HB-007867,Resort Hotel,0,400,2024,August,35,30,2024-08-30,2,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,57.68,0,0
HB-011722,Resort Hotel,1,107,2025,May,22,27,2025-05-27,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410.0,,0,Transient,45.5,0,0
HB-009732,Resort Hotel,1,317,2024,December,1,30,2024-12-30,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,,0,Transient,72.0,0,0
HB-110307,City Hotel,0,130,2025,April,17,22,2025-04-22,2,2,2,0.0,0,SC,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,89.0,0,1
HB-098389,City Hotel,0,12,2024,September,39,27,2024-09-27,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,138.0,,0,Transient,95.0,0,0
HB-051976,City Hotel,1,64,2024,May,22,27,2024-05-27,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,0
HB-014621,Resort Hotel,0,155,2025,August,33,11,2025-08-11,2,2,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient-Party,251.0,0,1
HB-032861,Resort Hotel,0,10,2025,February,6,6,2025-02-06,1,1,2,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,1,No Deposit,,507.0,0,Transient-Party,90.0,0,0
HB-064422,City Hotel,1,52,2025,March,10,9,2025-03-09,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,106.2,0,0
HB-115185,City Hotel,0,169,2025,July,27,2,2025-07-02,1,0,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0
HB-063190,City Hotel,1,231,2025,February,5,1,2025-02-01,2,4,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,100.3,0,0
HB-065236,City Hotel,1,629,2025,March,13,30,2025-03-30,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,59.0,0,0
HB-043268,City Hotel,0,56,2023,September,37,17,2023-09-17,0,2,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,20.0,,0,Transient-Party,82.0,0,0
HB-003603,Resort Hotel,1,0,2023,December,52,25,2023-12-25,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,240.0,,0,Transient,55.0,0,0
HB-065391,City Hotel,1,27,2025,April,14,2,2025-04-02,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.0,0,0
HB-096295,City Hotel,0,1,2024,August,35,28,2024-08-28,2,1,2,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,75.0,0,0
HB-101746,City Hotel,0,26,2024,November,46,16,2024-11-16,0,2,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,3,No Deposit,,350.0,0,Transient-Party,77.0,0,0
HB-060510,City Hotel,1,259,2024,November,46,12,2024-11-12,2,5,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient-Party,72.0,0,0
HB-082514,City Hotel,0,65,2023,December,52,30,2023-12-30,0,2,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,113.4,0,1
HB-113023,City Hotel,0,82,2025,May,22,28,2025-05-28,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,,0,Transient,89.1,0,1
HB-084292,City Hotel,0,0,2024,February,8,21,2024-02-21,1,0,2,0.0,0,BB,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,100.0,0,0
HB-071812,City Hotel,1,253,2025,July,28,13,2025-07-13,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,0
HB-011029,Resort Hotel,1,19,2025,April,16,15,2025-04-15,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.0,0,1
HB-023020,Resort Hotel,0,3,2024,April,14,7,2024-04-07,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,F,1,No Deposit,40.0,,0,Contract,71.73,0,1
